ID,Length,Width,Height,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z, f1,f2,f3,f4,f5,f6,f7
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
1,3.0,3.0,2.5,1.4,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
2,3.0,3.0,2.5,1.0,1.8,1.5,2.0,1.8,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
3,3.0,3.0,2.5,2.0,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
4,3.0,3.0,3.0,1.4,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
5,3.0,3.0,3.0,1.0,1.8,1.5,2.0,1.8,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
6,3.0,3.0,3.0,2.0,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
7,3.0,3.0,3.5,1.4,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
8,3.0,3.0,3.5,1.0,1.8,1.5,2.0,1.8,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
9,3.0,3.0,3.5,2.0,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
10,3.0,3.0,4.0,1.4,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
11,3.0,3.0,4.0,1.0,1.8,1.5,2.0,1.8,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
12,3.0,3.0,4.0,2.0,2.0,1.5,1.0,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
13,3.0,3.5,2.5,1.8,2.2,1.5,1.0,1.4,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
14,3.0,3.5,2.5,1.0,2.2,1.5,1.4,1.0,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.26,0.42,0.61,0.61,0.61,0.65,0.65
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.24,0.38,0.51,0.47,0.37,0.32,0.31
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.21,0.34,0.45,0.44,0.38,0.34,0.34
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.14,0.16,0.25,0.24,0.22,0.24,0.24
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.22,0.18,0.17,0.12,0.08,0.05,0.05
15,3.0,3.5,2.5,1.0,2.2,1.5,1.8,1.4,1.5,0.17,0.2,0.24,0.26,0.24,0.24,0.23
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.19,0.34,0.55,0.62,0.62,0.65,0.65
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.26,0.42,0.6,0.59,0.56,0.58,0.58
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.16,0.17,0.16,0.13,0.06,0.06,0.05
16,3.0,3.5,3.0,1.8,2.2,1.5,1.0,1.4,1.5,0.29,0.6,0.85,0.83,0.69,0.63,0.62
