ID,Length,Width,Height,Surface_Area,Volume,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z
1,3,3,2.5,48.0,22.5,1.4,2.0,1.5,1.0,1.0,1.5
2,3,3,2.5,48.0,22.5,1.0,1.8,1.5,2.0,1.8,1.5
3,3,3,2.5,48.0,22.5,2.0,2.0,1.5,1.0,1.0,1.5
4,3,3,3,54,27,1.4,2.0,1.5,1.0,1.0,1.5
5,3,3,3,54,27,1.0,1.8,1.5,2.0,1.8,1.5
6,3,3,3,54,27,2.0,2.0,1.5,1.0,1.0,1.5
7,3,3,3.5,60.0,31.5,1.4,2.0,1.5,1.0,1.0,1.5
8,3,3,3.5,60.0,31.5,1.0,1.8,1.5,2.0,1.8,1.5
9,3,3,3.5,60.0,31.5,2.0,2.0,1.5,1.0,1.0,1.5
10,3,3,4,66,36,1.4,2.0,1.5,1.0,1.0,1.5
11,3,3,4,66,36,1.0,1.8,1.5,2.0,1.8,1.5
12,3,3,4,66,36,2.0,2.0,1.5,1.0,1.0,1.5
13,3,3.5,2.5,53.5,26.25,1.8,2.2,1.5,1.0,1.4,1.5
14,3,3.5,2.5,53.5,26.25,1.0,2.2,1.5,1.4,1.0,1.5
15,3,3.5,2.5,53.5,26.25,1.0,2.2,1.5,1.8,1.4,1.5
16,3,3.5,3,60.0,31.5,1.8,2.2,1.5,1.0,1.4,1.5
17,3,3.5,3,60.0,31.5,1.0,2.2,1.5,1.4,1.0,1.5
18,3,3.5,3,60.0,31.5,1.0,2.2,1.5,1.8,1.4,1.5
19,3,3.5,3.5,66.5,36.75,1.8,2.2,1.5,1.0,1.4,1.5
20,3,3.5,3.5,66.5,36.75,1.0,2.2,1.5,1.4,1.0,1.5
21,3,3.5,3.5,66.5,36.75,1.0,2.2,1.5,1.8,1.4,1.5
22,3,3.5,4,73.0,42.0,1.8,2.2,1.5,1.0,1.4,1.5
23,3,3.5,4,73.0,42.0,1.0,2.2,1.5,1.4,1.0,1.5
24,3,3.5,4,73.0,42.0,1.0,2.2,1.5,1.8,1.4,1.5
25,3,4,2.5,59.0,30.0,1.4,1.4,1.5,1.8,3.0,1.5
26,3,4,2.5,59.0,30.0,1.4,2.6,1.5,1.4,1.4,1.5
27,3,4,2.5,59.0,30.0,1.8,2.6,1.5,1.8,1.4,1.5
28,3,4,3,66,36,1.4,1.4,1.5,1.8,3.0,1.5
29,3,4,3,66,36,1.4,2.6,1.5,1.4,1.4,1.5
30,3,4,3,66,36,1.8,2.6,1.5,1.8,1.4,1.5
31,3,4,3.5,73.0,42.0,1.4,1.4,1.5,1.8,3.0,1.5
32,3,4,3.5,73.0,42.0,1.4,2.6,1.5,1.4,1.4,1.5
33,3,4,3.5,73.0,42.0,1.8,2.6,1.5,1.8,1.4,1.5
34,3,4,4,80,48,1.4,1.4,1.5,1.8,3.0,1.5
35,3,4,4,80,48,1.4,2.6,1.5,1.4,1.4,1.5
36,3,4,4,80,48,1.8,2.6,1.5,1.8,1.4,1.5
37,3,4.5,2.5,64.5,33.75,1.4,3.0,1.5,1.8,1.8,1.5
38,3,4.5,2.5,64.5,33.75,1.8,3.4,1.5,1.4,2.2,1.5
39,3,4.5,2.5,64.5,33.75,1.0,1.8,1.5,1.4,3.4,1.5
40,3,4.5,3,72.0,40.5,1.4,3.0,1.5,1.8,1.8,1.5
41,3,4.5,3,72.0,40.5,1.8,3.4,1.5,1.4,2.2,1.5
42,3,4.5,3,72.0,40.5,1.0,1.8,1.5,1.4,3.4,1.5
43,3,4.5,3.5,79.5,47.25,1.4,3.0,1.5,1.8,1.8,1.5
44,3,4.5,3.5,79.5,47.25,1.8,3.4,1.5,1.4,2.2,1.5
45,3,4.5,3.5,79.5,47.25,1.0,1.8,1.5,1.4,3.4,1.5
46,3,4.5,4,87.0,54.0,1.4,3.0,1.5,1.8,1.8,1.5
47,3,4.5,4,87.0,54.0,1.8,3.4,1.5,1.4,2.2,1.5
48,3,4.5,4,87.0,54.0,1.0,1.8,1.5,1.4,3.4,1.5
49,3,5,2.5,70.0,37.5,1.0,2.2,1.5,1.8,3.4,1.5
50,3,5,2.5,70.0,37.5,1.0,1.0,1.5,1.4,3.0,1.5
51,3,5,2.5,70.0,37.5,1.0,1.4,1.5,1.4,3.8,1.5
52,3,5,3,78,45,1.0,2.2,1.5,1.8,3.4,1.5
53,3,5,3,78,45,1.0,1.0,1.5,1.4,3.0,1.5
54,3,5,3,78,45,1.0,1.4,1.5,1.4,3.8,1.5
55,3,5,3.5,86.0,52.5,1.0,2.2,1.5,1.8,3.4,1.5
56,3,5,3.5,86.0,52.5,1.0,1.0,1.5,1.4,3.0,1.5
57,3,5,3.5,86.0,52.5,1.0,1.4,1.5,1.4,3.8,1.5
58,3,5,4,94,60,1.0,2.2,1.5,1.8,3.4,1.5
59,3,5,4,94,60,1.0,1.0,1.5,1.4,3.0,1.5
60,3,5,4,94,60,1.0,1.4,1.5,1.4,3.8,1.5
61,3,5.5,2.5,75.5,41.25,1.4,3.4,1.5,1.0,1.0,1.5
