filename,RT60_RT20,Corr_RT60_RT20,RT60_RT30,Corr_RT60_RT30
RIR_001_case0.wav,0.121,0.995,0.188,0.989
RIR_001_case1.wav,0.095,0.999,0.116,0.998
RIR_001_case2.wav,1.625,0.998,1.979,0.997
RIR_001_case3.wav,0.093,1.0,0.103,0.999
RIR_001_case4.wav,0.087,0.999,0.113,0.996
RIR_001_case5.wav,0.317,0.999,0.431,0.995
RIR_001_case6.wav,0.393,0.997,0.558,0.991
RIR_001_case7.wav,0.433,0.998,0.687,0.991
RIR_001_case8.wav,0.547,0.999,0.639,0.998
RIR_001_case9.wav,0.304,0.997,0.423,0.994
RIR_002_case0.wav,0.117,0.998,0.202,0.989
RIR_002_case1.wav,0.099,0.999,0.129,0.997
RIR_002_case2.wav,1.642,0.998,1.996,0.997
RIR_002_case3.wav,0.091,1.0,0.103,0.999
RIR_002_case4.wav,0.087,1.0,0.119,0.995
RIR_002_case5.wav,0.359,0.998,0.441,0.996
RIR_002_case6.wav,0.556,0.995,0.697,0.994
RIR_002_case7.wav,0.539,0.996,0.698,0.996
RIR_002_case8.wav,0.576,0.999,0.631,0.999
RIR_002_case9.wav,0.364,0.997,0.492,0.996
RIR_003_case0.wav,0.118,0.995,0.187,0.988
RIR_003_case1.wav,0.088,0.998,0.117,0.996
RIR_003_case2.wav,1.605,0.998,1.958,0.997
RIR_003_case3.wav,0.082,0.999,0.099,0.997
RIR_003_case4.wav,0.084,0.999,0.12,0.995
RIR_003_case5.wav,0.305,0.998,0.428,0.994
RIR_003_case6.wav,0.366,0.997,0.558,0.991
RIR_003_case7.wav,0.49,0.996,0.711,0.992
RIR_003_case8.wav,0.537,0.998,0.615,0.998
RIR_003_case9.wav,0.301,0.996,0.42,0.994
RIR_004_case0.wav,0.116,0.995,0.189,0.989
RIR_004_case1.wav,0.106,0.998,0.124,0.997
RIR_004_case2.wav,1.658,0.998,2.002,0.997
RIR_004_case3.wav,0.087,0.999,0.099,0.998
RIR_004_case4.wav,0.083,0.999,0.117,0.995
RIR_004_case5.wav,0.332,0.998,0.417,0.996
RIR_004_case6.wav,0.391,0.996,0.569,0.99
RIR_004_case7.wav,0.44,0.997,0.715,0.99
RIR_004_case8.wav,0.554,0.999,0.644,0.998
RIR_004_case9.wav,0.305,0.997,0.423,0.994
RIR_005_case0.wav,0.123,0.996,0.193,0.989
RIR_005_case1.wav,0.107,0.999,0.133,0.997
RIR_005_case2.wav,1.655,0.999,2.001,0.997
RIR_005_case3.wav,0.096,0.999,0.11,0.999
RIR_005_case4.wav,0.09,0.999,0.126,0.995
RIR_005_case5.wav,0.364,0.998,0.441,0.996
RIR_005_case6.wav,0.557,0.995,0.687,0.993
RIR_005_case7.wav,0.547,0.996,0.729,0.995
RIR_005_case8.wav,0.576,0.999,0.634,0.999
RIR_005_case9.wav,0.357,0.996,0.496,0.995
RIR_006_case0.wav,0.108,0.996,0.191,0.988
RIR_006_case1.wav,0.092,0.998,0.116,0.995
RIR_006_case2.wav,1.624,0.998,1.986,0.997
RIR_006_case3.wav,0.081,0.998,0.099,0.997
RIR_006_case4.wav,0.081,0.996,0.109,0.993
RIR_006_case5.wav,0.312,0.997,0.41,0.995
RIR_006_case6.wav,0.366,0.997,0.549,0.99
RIR_006_case7.wav,0.475,0.995,0.737,0.989
RIR_006_case8.wav,0.533,0.998,0.612,0.998
RIR_006_case9.wav,0.293,0.995,0.404,0.993
RIR_007_case0.wav,0.124,0.997,0.198,0.989
RIR_007_case1.wav,0.117,0.999,0.135,0.998
RIR_007_case2.wav,1.717,0.999,2.042,0.997
RIR_007_case3.wav,0.104,0.999,0.116,0.999
RIR_007_case4.wav,0.094,0.999,0.123,0.996
RIR_007_case5.wav,0.376,0.998,0.442,0.996
RIR_007_case6.wav,0.456,0.995,0.574,0.992
RIR_007_case7.wav,0.504,0.996,0.832,0.988
RIR_007_case8.wav,0.552,0.999,0.643,0.998
RIR_007_case9.wav,0.304,0.997,0.424,0.994
RIR_008_case0.wav,0.154,0.998,0.214,0.994
RIR_008_case1.wav,0.122,0.999,0.151,0.996
RIR_008_case2.wav,1.743,0.998,2.054,0.997
RIR_008_case3.wav,0.107,1.0,0.12,0.999
RIR_008_case4.wav,0.113,0.997,0.144,0.997
RIR_008_case5.wav,0.386,0.998,0.472,0.997
RIR_008_case6.wav,0.588,0.996,0.715,0.994
RIR_008_case7.wav,0.586,0.996,0.779,0.995
RIR_008_case8.wav,0.574,0.999,0.635,0.999
RIR_008_case9.wav,0.365,0.997,0.503,0.995
RIR_009_case0.wav,0.122,0.996,0.195,0.989
RIR_009_case1.wav,0.099,0.998,0.126,0.996
RIR_009_case2.wav,1.678,0.999,2.008,0.997
RIR_009_case3.wav,0.091,0.999,0.106,0.998
RIR_009_case4.wav,0.094,0.999,0.122,0.996
RIR_009_case5.wav,0.343,0.999,0.436,0.996
RIR_009_case6.wav,0.407,0.996,0.576,0.991
RIR_009_case7.wav,0.525,0.993,0.856,0.988
RIR_009_case8.wav,0.536,0.998,0.612,0.998
RIR_009_case9.wav,0.294,0.995,0.409,0.993
RIR_010_case0.wav,0.155,0.997,0.226,0.993
RIR_010_case1.wav,0.118,0.999,0.144,0.998
RIR_010_case2.wav,1.754,0.999,2.068,0.998
